,CDSCode,School,Zip,EILCode,Virtual,Latitude,Longitude,LastUpDate,Address,Zipcode
179,37681146096515,San Onofre Elementary,92672-2517,ELEM,N,33.390408,-117.57875,2020-08-13,"200 Pate Road,San Clemente,CA,92672",92672
180,37681146096911,Fallbrook Homeschool Academy,92028-2108,ELEM,N,33.378171,-117.23546,2020-08-13,"300 Heald Lane,Fallbrook,CA,92028",92028
181,37681146109524,Live Oak Elementary,92028-2108,ELEM,N,33.369178,-117.2174,2020-08-13,"1978 Reche Road,Fallbrook,CA,92028",92028
182,37681146116420,William H. Frazier Elementary,92028-2108,ELEM,N,33.387442,-117.22413,2020-08-13,"1835 Gum Tree Lane,Fallbrook,CA,92028",92028
183,37681223730967,Oasis High (Alternative),92028-4500,HS,C,33.351956,-117.23611,2020-08-13,"2208 South Stage Coach Lane,Fallbrook,CA,92028",92028
184,37681223732179,Fallbrook High,92028-4429,HS,C,33.349505,-117.24137,2020-09-08,"2400 South Stage Coach Lane,Fallbrook,CA,92028",92028
185,37681223732195,Ivy High (Continuation),92028-4500,HS,C,33.347369,-117.23808,2020-08-13,"1056 Winterhaven Road,Fallbrook,CA,92028",92028
186,37681300128793,MERIT Academy,92020-1109,HS,C,32.816861,-116.97965,2020-08-13,"1600 North Cuyamaca Street,El Cajon,CA,92020",92020
187,37681300128819,REACH Academy,92019-2359,HS,C,32.793343,-116.93536,2020-08-13,"230 Jamacha Road,El Cajon,CA,92019",92019
188,37681300132548,IDEA Center,92020-1187,HS,C,32.816861,-116.97965,2020-08-13,"1600 North Cuyamaca Street,El Cajon,CA,92020",92020
189,37681300139063,The Learning Choice Academy - East County,91941-7965,ELEMHIGH,N,32.755668,-117.01354,2020-08-13,"4215 Spring Street Suite 104,La Mesa,CA,91941",91941
190,37681303730066,Valhalla High,92019-3742,HS,C,32.762192,-116.92037,2020-09-09,"1725 Hillsdale Road,El Cajon,CA,92019",92019
191,37681303730199,Foothills Adult Education Center,92019-2015,A,C,32.79713,-116.92436,2018-08-17,"1550 Melody Lane,El Cajon,CA,92019",92019
192,37681303730249,El Cajon Adult Center,92021-6226,A,C,32.80016,-116.94594,2019-08-13,"1075 East Madison Avenue,El Cajon,CA,92021",92021
193,37681303730256,Steele Canyon Adult Center,91978-2331,A,C,32.730297,-116.92517,2018-08-17,"12440 Campo Road,Spring Valley,CA,91978",91978
194,37681303730702,West Hills High,92071-2046,HS,C,32.849846,-117.01297,2020-08-13,"8756 Mast Boulevard,Santee,CA,92071",92071
195,37681303731262,Steele Canyon High,91978-2331,HS,C,32.730297,-116.92517,2020-08-13,"12440 Campo Road,Spring Valley,CA,91978",91978
196,37681303731486,Elite Academy,92019-2359,HS,C,32.793615,-116.93495,2020-08-13,"230 Jamacha Boulevard,El Cajon,CA,92019",92019
197,37681303731536,Grossmont Middle College High,92020-1765,HS,C,32.814927,-117.00889,2017-07-19,"8800 Grossmont College Drive,El Cajon,CA,92020",92020
198,37681303731692,El Cajon Valley High,92021-6226,HS,C,32.800133,-116.94728,2020-08-13,"1035 East Madison Avenue,El Cajon,CA,92021",92021
199,37681303731809,El Capitan High,92040-2406,HS,C,32.868106,-116.91489,2020-08-13,"10410 Ashwood Street,Lakeside,CA,92040",92040
200,37681303732336,Granite Hills High,92019-1052,HS,C,32.800159,-116.91681,2020-08-13,"1719 East Madison Avenue,El Cajon,CA,92019",92019
201,37681303732419,Grossmont Adult,92019,A,C,32.79713,-116.92436,2020-08-25,"1550 Melody Lane,El Cajon,CA,92019",92019
202,37681303732559,Chaparral High,92020-1187,HS,C,32.816896,-116.9797,2020-08-13,"1600 North Cuyamaca Street,El Cajon,CA,92020",92020
203,37681303732625,Grossmont High,91944-1043,HS,C,32.78067,-116.98498,2020-08-13,"1100 Murray Drive,La Mesa,CA,91944",91944
204,37681303732732,Helix High,91941-6055,HS,C,32.755905,-117.03981,2019-02-13,"7323 University Avenue,La Mesa,CA,91941",91941
205,37681303734548,Monte Vista High,91977-6934,HS,C,32.738087,-116.97221,2020-08-13,"3230 Sweetwater Springs Boulevard,Spring Valley,CA,91977",91977
206,37681303734761,Mount Miguel High,91977-3765,HS,C,32.724917,-117.01689,2020-08-13,"8585 Blossom Lane,Spring Valley,CA,91977",91977
207,37681303737905,Santana High,92071-1903,HS,C,32.857284,-116.97097,2020-08-13,"9915 North Magnolia Avenue,Santee,CA,92071",92071
208,37681556038319,Jamul Elementary,91935-3324,ELEM,N,32.730137,-116.85456,2020-08-13,"14567 Lyons Valley Road,Jamul,CA,91935",91935
209,37681556097182,Oak Grove Middle,91935-3223,INTMIDJR,N,32.722358,-116.86159,2020-08-13,"14344 Olive Vista Drive,Jamul,CA,91935",91935
210,37681556117303,Greater San Diego Academy,91935-3208,ELEMHIGH,N,32.728998,-116.85615,2019-07-25,"14545 Lyons Valley Road,Jamul,CA,91935",91935
211,37681630128421,Harbor Springs Charter,92036,ELEMHIGH,N,33.078652,-116.59486,2020-08-13,"1704 Cape Horn,Julian,CA,92036",92036
212,37681630137109,Diego Valley East Public Charter,92021-6449,HS,N,32.800703,-116.93542,2020-08-13,"511 North Second Street,El Cajon,CA,92021",92021
213,37681630138156,JCS - Mountain Oaks,92024-3748,ELEM,N,33.045335,-117.27987,2020-08-13,"539 Encinitas Boulevard,Encinitas,CA,92024",92024
214,37681630138628,JCS - Cedar Cove,92024-3840,ELEMHIGH,N,33.035868,-117.27597,2020-08-13,"777 Santa Fe,Encinitas,CA,92024",92024
215,37681630139402,Brookfield Engineering Science Technology Academy,92036,ELEMHIGH,F,33.078652,-116.59486,2019-11-04,"1704 Cape Horn,Julian,CA,92036",92036
216,37681633731239,Julian Charter,92036,ELEMHIGH,N,33.07808,-116.59581,2020-08-13,"1704 Cape Horn,Julian,CA,92036",92036
217,37681636038327,Julian Elementary,92036-0337,ELEM,N,33.07808,-116.59581,2020-08-15,"1704 Cape Horn,Julian,CA,92036",92036
218,37681636105845,Julian Junior High,92036-0337,INTMIDJR,N,33.07808,-116.59581,2020-08-15,"1704 Cape Horn,Julian,CA,92036",92036
219,37681713733219,Julian High,92036-0417,HS,N,33.076465,-116.59451,2020-08-13,"1656 Highway 78,Julian,CA,92036",92036
220,37681890129288,Eucalyptus Hills Elementary,92040-1046,ELEM,N,32.892434,-116.94779,2019-08-23,"11838 Valle Vista Road,Lakeside,CA,92040",92040
221,37681890130740,Lakeside Early Advantage Preschool,92040-3206,PS,N,32.859273,-116.91472,2018-03-14,"12824 Lakeshore Drive,Lakeside,CA,92040",92040
222,37681893731072,River Valley Charter,92040-2868,HS,N,32.853156,-116.94065,2019-02-13,"9707 1/2 Marilla Drive,Lakeside,CA,92040",92040
223,37681896038343,Lakeside Farms Elementary,92040-0578,ELEM,N,32.867036,-116.93598,2020-08-13,"11915 Lakeside Avenue,Lakeside,CA,92040",92040
224,37681896038350,Lakeside Middle,92040-0578,INTMIDJR,N,32.85513,-116.93804,2019-02-13,"11833 Woodside Avenue,Lakeside,CA,92040",92040
225,37681896038368,Lakeview Elementary,92040-0578,ELEM,N,32.843603,-116.90428,2019-02-13,"9205 Lakeview Road,Lakeside,CA,92040",92040
226,37681896038376,Lindo Park Elementary,92040-0578,ELEM,N,32.859031,-116.91443,2020-08-13,"12824 Lakeshore Drive,Lakeside,CA,92040",92040
227,37681896038384,Riverview Elementary,92040-4539,ELEM,N,32.846449,-116.93109,2019-08-22,"9308 Winter Gardens Boulevard,Lakeside,CA,92040",92040
228,37681896038392,Winter Gardens Elementary,92040-5406,ELEM,N,32.831458,-116.93122,2019-08-23,"8501 Pueblo Road,Lakeside,CA,92040",92040
229,37681896085047,Tierra del Sol Middle,92040-4317,INTMIDJR,N,32.854481,-116.91164,2019-02-13,"9611 Petite Lane,Lakeside,CA,92040",92040
230,37681896107742,Lakeside Union Alternative Education,92040-3015,ELEM,N,32.847282,-116.9317,2020-08-13,"9308 Winter Gardens Boulevard,Lakeside,CA,92040",92040
231,37681896110092,Lemon Crest Elementary,92040-0578,ELEM,N,32.85228,-116.92172,2019-02-13,"12463 Lemon Crest Drive,Lakeside,CA,92040",92040
232,37681896120901,Barona Indian Charter,92040-1541,ELEM,N,32.933084,-116.8772,2020-08-13,"1095 Barona Road,Lakeside,CA,92040",92040
233,37681970115543,Quest Academy,91977-3336,INTMIDJR,N,32.730135,-117.00817,2019-02-13,"8805 Tyler Street,Spring Valley,CA,91977",91977
234,37681970132290,La Mesa Arts Academy,91942-6212,INTMIDJR,N,32.75519,-117.03025,2020-08-13,"4200 Parks Avenue,La Mesa,CA,91942",91942
235,37681970132431,"Science, Technology, Engineering, Arts, and Math Academy at La Presa",91977-4819,INTMIDJR,N,32.712351,-117.00522,2020-08-13,"1001 Leland Street,Spring Valley,CA,91977",91977
236,37681970132951,Trust Blended Learning,91942-3400,ELEM,V,32.790456,-117.00419,2020-08-13,"9009 Park Placeaza Drive,La Mesa,CA,91942",91942
237,37681970134155,Spring Valley Academy,91977-1437,INTMIDJR,N,32.750413,-116.98775,2020-08-13,"3900 Conrad Drive,Spring Valley,CA,91977",91977
238,37681970136408,Sparrow Academy,91941-2030,ELEM,N,32.756024,-117.01271,2020-08-13,"4207 Spring Gardens Road,La Mesa,CA,91941",91941
239,37681976038400,Avondale Elementary,91977-3737,ELEM,N,32.719139,-117.01727,2020-08-13,"8401 Stansbury Street,Spring Valley,CA,91977",91977
240,37681976038418,Bancroft Elementary,91977-3336,ELEM,N,32.730135,-117.00817,2020-08-13,"8805 Tyler Street,Spring Valley,CA,91977",91977
241,37681976038434,Casa de Oro Elementary,91977-1720,ELEM,N,32.747767,-116.97276,2020-08-13,"10227 Ramona Drive,Spring Valley,CA,91977",91977
242,37681976038442,Fletcher Hills Elementary,92020-2809,ELEM,N,32.800478,-116.99618,2020-08-13,"2330 Center Place,El Cajon,CA,92020",92020
243,37681976038459,Highlands Elementary,91977-3003,ELEM,N,32.737305,-116.98155,2020-08-13,"3131 South Barcelona Street,Spring Valley,CA,91977",91977
244,37681976038467,Kempton Street Literacy Academy,91977-5017,ELEM,N,32.710497,-117.00175,2019-09-16,"740 Kempton Street,Spring Valley,CA,91977",91977
245,37681976038475,La Mesa Dale Elementary,91941-5214,ELEM,N,32.757662,-117.03215,2020-08-13,"4370 Parks Avenue,La Mesa,CA,91941",91941
246,37681976038509,La Presa Elementary,91977-6011,ELEM,N,32.706482,-116.99327,2020-08-13,"519 La Presa Street,Spring Valley,CA,91977",91977
247,37681976038517,Lemon Avenue Elementary,91941-5214,ELEM,N,32.768184,-117.00837,2020-08-13,"8787 Lemon Avenue,La Mesa,CA,91941",91941
248,37681976038525,Maryland Avenue Elementary,91941-5214,ELEM,N,32.777787,-117.0382,2020-08-13,"5400 Maryland Avenue,La Mesa,CA,91941",91941
249,37681976038533,Murray Manor Elementary,91942-2704,ELEM,N,32.788351,-117.01987,2020-08-13,"8305 El Paso Street,La Mesa,CA,91942",91942
250,37681976038541,Northmont Elementary,91942-3811,ELEM,N,32.790877,-116.99398,2020-08-13,"9405 Gregory Street,La Mesa,CA,91942",91942
251,37681976038558,Parkway Middle,91942-3400,INTMIDJR,N,32.791277,-117.00293,2020-08-13,"9009 Park Plaza Drive,La Mesa,CA,91942",91942
252,37681976038566,Rancho Elementary,91977-5716,ELEM,N,32.70508,-117.01594,2020-08-13,"8845 Noeline Avenue,Spring Valley,CA,91977",91977
253,37681976038574,Rolando Elementary,91941-5214,ELEM,N,32.763199,-117.04876,2020-08-13,"6925 Tower Street,La Mesa,CA,91941",91941
254,37681976070833,Murdock Elementary,91941-5214,ELEM,N,32.758828,-116.98474,2020-08-13,"4354 Conrad Drive,La Mesa,CA,91941",91941
255,37681976098446,Loma Elementary,91978-1517,ELEM,N,32.736664,-116.96884,2020-08-13,"10355 Loma Lane,Spring Valley,CA,91978",91978
256,37681976111207,Sweetwater Springs Elementary,91977-6903,ELEM,N,32.731776,-116.9766,2020-08-13,"10129 Austin Drive,Spring Valley,CA,91977",91977
257,37682056038608,Lemon Grove Academy for the Sciences and Humanities,91945-2542,ELEM,N,32.738507,-117.02886,2020-08-13,"7866 Lincoln Street,Lemon Grove,CA,91945",91945
258,37682056038624,Monterey Heights Elementary,91945-2515,ELEM,N,32.722188,-117.03315,2020-08-13,"7550 Canton Drive,Lemon Grove,CA,91945",91945
259,37682056038632,Mt. Vernon,91945-3336,ELEM,N,32.732311,-117.02093,2020-07-22,"8350 Mount Vernon Street,Lemon Grove,CA,91945",91945
260,37682056038657,San Altos Elementary,91945-2515,ELEM,N,32.724107,-117.04534,2020-08-13,"1750 Madera Street,Lemon Grove,CA,91945",91945
261,37682056038665,San Miguel Elementary,91945-2515,ELEM,N,32.735134,-117.04597,2020-08-13,"7059 San Miguel Avenue,Lemon Grove,CA,91945",91945
262,37682056038673,Vista La Mesa Academy,91941-7542,ELEM,N,32.748456,-117.04497,2020-08-13,"3900 Violet Street,La Mesa,CA,91941",91941
263,37682130118711,Mountain Empire Special Education Preschool,91962-4003,ELEM,N,32.75726,-116.49271,2015-09-28,"3291 Buckman Springs Road,Pine Valley,CA,91962",91962
264,37682130123224,San Diego Virtual,92108-3848,ELEMHIGH,V,32.771347,-117.13032,2019-02-13,"2878 Camino Del Rio South Suite 410,San Diego,CA,92108",92108
265,37682130126995,Camp Lockett Middle,91906-3154,INTMIDJR,N,32.616483,-116.47593,2020-08-13,"31360 Highway 94,Campo,CA,91906",91906
266,37682130127001,Pine Valley Middle,91962,INTMIDJR,N,32.819591,-116.52548,2020-08-13,"7454 Pine Boulevard,Pine Valley,CA,91962",91962
267,37682130127084,Compass Charter Schools of San Diego,91361-2851,ELEMHIGH,F,34.155677,-118.83082,2020-08-13,"850 Hampshire Road, Suite P,Thousand Oaks,CA,91361",91361
268,37682130129668,Motivated Youth Academy,92069-2989,ELEMHIGH,V,33.141522,-117.16245,2020-08-27,"100 E San Marcos Boulevard Ste 350,San Marcos,CA,92069",92069
269,37682130136978,Elite Academic Academy - Mountain Empire,92590-5526,ELEMHIGH,V,33.50021,-117.1611,2020-08-26,"43414 Business Park Drive,Temecula,CA,92590",92590
270,37682130138636,JCS - Pine Valley,91962,ELEMHIGH,N,32.821998,-116.52871,2020-08-27,"28876 Old Highway 80,Pine Valley,CA,91962",91962
271,37682133730934,Campo High (Continuation),91962-4005,HS,N,32.734352,-116.49294,2020-08-13,"3305 Buckman Springs Road,Pine Valley,CA,91962",91962
272,37682133730991,Hillside Junior/Senior High,91962-4005,HS,N,32.734352,-116.49294,2020-08-13,"3305 Buckman Springs Road,Pine Valley,CA,91962",91962
273,37682133731080,Cottonwood Community Day,91962-4003,HS,N,32.732694,-116.49425,2019-02-13,"3291 Buckman Springs Road,Pine Valley,CA,91962",91962
274,37682133734878,Mountain Empire High,91962-4005,HS,N,32.734424,-116.4937,2020-08-13,"3305 Buckman Springs Road,Pine Valley,CA,91962",91962
275,37682136038681,Campo Elementary,91906-2004,ELEM,N,32.643626,-116.48561,2020-08-13,"1654 Buckman Springs Road,Campo,CA,91906",91906
276,37682136038699,Descanso Elementary,91916-9757,ELEM,N,32.858654,-116.61341,2020-08-13,"24842 Viejas Boulevard,Descanso,CA,91916",91916
277,37682136085054,Clover Flat Elementary,91905-9733,ELEM,N,32.668361,-116.29589,2020-08-13,"39639 Old Highway 80,Boulevard,CA,91905",91905
278,37682136097190,Potrero Elementary,91963-4110,ELEM,N,32.610058,-116.6133,2019-08-23,"24875 Potrero Valley Road,Potrero,CA,91963",91963
279,37682210101360,Integrity Charter,91950-1123,ELEM,N,32.676262,-117.10704,2020-08-13,"701 National City Boulevard,National City,CA,91950",91950
280,37682210129734,National School District Preschool,91950-6162,PS,N,32.670265,-117.07596,2018-10-29,"2401 East 24th Street,National City,CA,91950",91950
281,37682216038731,Central Elementary,91950-3416,ELEM,N,32.676133,-117.1013,2019-02-13,"933 E Avenue,National City,CA,91950",91950
282,37682216038749,El Toyon Elementary,91950-1823,ELEM,N,32.688436,-117.08889,2019-02-13,"2000 East Division Street,National City,CA,91950",91950
283,37682216038756,John A. Otis Elementary,91950-4630,ELEM,N,32.669036,-117.0972,2019-02-13,"621 East 18th Street,National City,CA,91950",91950
284,37682216038764,Ira Harbison,91950-3116,ELEM,N,32.685779,-117.07317,2020-08-13,"3235 EastEighth Street,National City,CA,91950",91950
285,37682216038772,Kimball,91950-5526,ELEM,N,32.666367,-117.10637,2019-02-13,"302 West 18th Street,National City,CA,91950",91950
286,37682216038780,Las Palmas,91950-5013,ELEM,N,32.672498,-117.08437,2019-02-13,"1900 East 18th Street,National City,CA,91950",91950
287,37682216038798,Lincoln Acres,91950-6298,ELEM,N,32.671255,-117.07569,2020-08-11,"2200 Lanoitan Avenue,National City,CA,91950",91950
288,37682216038806,Olivewood,91950-7017,ELEM,N,32.662903,-117.09498,2019-02-13,"2505 F Avenue,National City,CA,91950",91950
289,37682216038814,Palmer Way,91950-5251,ELEM,N,32.679585,-117.07477,2019-02-13,"2900 Palmer Street,National City,CA,91950",91950
290,37682216108559,Rancho de la Nacion,91950-1850,ELEM,N,32.687964,-117.09059,2020-08-11,"1830 East Division Street,National City,CA,91950",91950
291,37682960102822,Stone Ranch Elementary,92127-4431,ELEM,N,33.005421,-117.11572,2020-08-13,"16150 4S Ranch Parkway,San Diego,CA,92127",92127
292,37682960108332,Oak Valley Middle,92127-3719,INTMIDJR,C,32.999254,-117.1098,2020-08-13,"16055 Winecreek Road,San Diego,CA,92127",92127
293,37682960111187,Monterey Ridge Elementary,92127-8853,ELEM,N,33.0264,-117.1094,2020-08-13,"17117 4S Ranch Parkway,San Diego,CA,92127",92127
294,37682960116475,Del Sur Elementary,92127-6144,ELEM,N,33.0185,-117.14056,2020-08-13,"15665 Paseo Del Sur,San Diego,CA,92127",92127
295,37682960116764,Willow Grove Elementary,92127-4813,ELEM,N,32.993542,-117.16104,2020-08-13,"14727 Via Azul,San Diego,CA,92127",92127
296,37682960118935,Del Norte High,92127-4457,HS,C,33.015119,-117.12162,2020-08-15,"16601 Nighthawk Lane,San Diego,CA,92127",92127
297,37682960129056,Design 39 Campus,92127-4463,ELEM,N,33.018484,-117.12715,2020-08-13,"17050 Del Sur Ridge Road,San Diego,CA,92127",92127
298,37682963730074,Mt. Carmel High,92129-2799,HS,C,32.965926,-117.12091,2020-08-13,"9550 Carmel Mountain Road,San Diego,CA,92129",92129
299,37682963730819,Rancho Bernardo High,92128-4499,HS,C,32.994329,-117.06805,2020-08-13,"13010 Paseo Lucido,San Diego,CA,92128",92128
300,37682963731528,Westview High,92129-4465,HS,C,32.965082,-117.14808,2020-08-13,"13500 Camino Del Sur,San Diego,CA,92129",92129
301,37682963735834,Poway Adult,92064-3034,A,C,32.978786,-117.03586,2016-12-08,"13626 Twin Peaks Road,Poway,CA,92064",92064
302,37682963735842,Abraxas Continuation High,92064-3299,HS,C,32.973675,-117.06088,2020-08-13,"12450 Glenoak Road,Poway,CA,92064",92064
303,37682963735867,Poway High,92064-2299,HS,C,32.996858,-117.02366,2020-08-13,"15500 Espola Road,Poway,CA,92064",92064
304,37682966038970,Garden Road Elementary,92064-5299,ELEM,N,32.956246,-117.01434,2020-08-13,"14614 Garden Road,Poway,CA,92064",92064
305,37682966038988,Meadowbrook Middle,92064-3599,INTMIDJR,C,32.963401,-117.06405,2019-02-13,"12320 Meadowbrook Lane,Poway,CA,92064",92064
306,37682966038996,Midland Elementary,92064-4024,ELEM,N,32.966051,-117.03619,2020-08-13,"13910 Midland Road,Poway,CA,92064",92064
307,37682966039002,Pomerado Elementary,92064-3597,ELEM,N,32.958705,-117.06457,2020-08-13,"12321 Ninth Street,Poway,CA,92064",92064
308,37682966039010,Valley Elementary,92064-5799,ELEM,N,32.953597,-117.04526,2019-02-13,"13000 Bowron Road,Poway,CA,92064",92064
309,37682966070841,Los Penasquitos Elementary,92129-1852,ELEM,N,32.970519,-117.09622,2020-08-13,"14125 Cuca Street,San Diego,CA,92129",92129
310,37682966070858,Westwood Elementary,92127-1299,ELEM,N,33.03119,-117.08695,2020-08-13,"17449 Matinal Road,San Diego,CA,92127",92127
311,37682966070866,Twin Peaks Middle,92064-3091,INTMIDJR,C,32.980105,-117.02769,2020-08-13,"14640 Tierra Bonita Road,Poway,CA,92064",92064
312,37682966085088,Painted Rock Elementary,92064-1628,ELEM,N,33.017454,-117.03971,2020-08-13,"16711 Martincoit Road,Poway,CA,92064",92064
313,37682966093223,Black Mountain Middle,92129-2198,INTMIDJR,N,32.96914,-117.12709,2020-08-13,"9353 Oviedo Street,San Diego,CA,92129",92129
314,37682966093231,Sunset Hills Elementary,92129-2199,ELEM,N,32.96914,-117.12709,2020-08-13,"9291 Oviedo Street,San Diego,CA,92129",92129
315,37682966095053,Tierra Bonita Elementary,92064-3090,ELEM,N,32.98141,-117.02771,2020-08-13,"14678 Tierra Bonita Road,Poway,CA,92064",92064
316,37682966097208,Rolling Hills Elementary,92129-1016,ELEM,N,32.989542,-117.09273,2020-08-13,"15255 Penasquitos Drive,San Diego,CA,92129",92129
317,37682966097216,Chaparral Elementary,92064-1123,ELEM,N,33.023731,-117.04995,2020-08-13,"17250 Tannin Drive,Poway,CA,92064",92064
318,37682966099444,Sundance Elementary,92129-2334,ELEM,N,32.960094,-117.13331,2020-08-13,"8944 Twin Trails Drive,San Diego,CA,92129",92129
319,37682966106520,Canyon View Elementary,92129-3525,ELEM,N,32.947126,-117.12807,2020-08-13,"9225 Adolphia Street,San Diego,CA,92129",92129
320,37682966107460,Bernardo Heights Middle,92128-4479,INTMIDJR,N,32.995489,-117.06788,2020-08-13,"12990 Paseo Lucido,San Diego,CA,92128",92128
321,37682966109300,Deer Canyon Elementary,92129-4411,ELEM,N,32.964038,-117.14377,2020-08-13,"13455 Russet Leaf Lane,San Diego,CA,92129",92129
322,37682966109318,Morning Creek Elementary,92128-4047,ELEM,N,32.953272,-117.09554,2020-08-13,"10925 Morning Creek Drive, South,San Diego,CA,92128",92128
323,37682966109326,Turtleback Elementary,92127-2044,ELEM,N,33.004949,-117.08814,2020-08-13,"15855 Turtleback Road,San Diego,CA,92127",92127
324,37682966110878,Adobe Bluffs Elementary,92129-4448,ELEM,N,32.974268,-117.14039,2019-02-13,"8707 Adobe Bluffs Drive,San Diego,CA,92129",92129
325,37682966110886,Highland Ranch Elementary,92128-3702,ELEM,N,32.984064,-117.07108,2020-08-13,"14840 Waverley Downs Way,San Diego,CA,92128",92128
326,37682966111306,Mesa Verde Middle,92129-4405,INTMIDJR,C,32.962739,-117.14671,2020-08-13,"8375 Entreken Way,San Diego,CA,92129",92129
327,37682966111314,Park Village Elementary,92129-3781,ELEM,N,32.940459,-117.15069,2020-08-13,"7930 Park Village Road,San Diego,CA,92129",92129
328,37682966114854,Shoal Creek Elementary,92128-4573,ELEM,N,32.967503,-117.08054,2020-08-13,"11775 Shoal Creek Drive,San Diego,CA,92128",92128
329,37682966117469,Creekside Elementary,92128-6366,ELEM,N,32.943627,-117.07551,2020-08-13,"12362 Springhurst Drive,San Diego,CA,92128",92128
330,37683040102178,Future Bound Independent Study Secondary,92065-2348,HS,N,33.039022,-116.86397,2020-06-26,"720 Ninth Street,Ramona,CA,92065",92065
331,37683040131250,Mountain Valley Academy,92065-3222,ELEMHIGH,N,33.026764,-116.87845,2020-08-13,"1010 Ramona Street,Ramona,CA,92065",92065
332,37683040131268,Ramona Community Montessori,92065-3222,ELEM,N,33.026764,-116.87845,2020-08-13,"1010 Ramona Street,Ramona,CA,92065",92065
333,37683043730900,Ramona Adult,92065-2348,A,N,33.039329,-116.86387,2020-06-26,"720 Ninth Street,Ramona,CA,92065",92065
334,37683043735958,Montecito High (Continuation),92065-2348,HS,N,33.039022,-116.86397,2020-08-13,"720 Ninth Street,Ramona,CA,92065",92065
335,37683043735974,Ramona High,92065-3304,HS,N,33.025724,-116.86867,2020-08-13,"1401 Hanson Lane,Ramona,CA,92065",92065
336,37683046039028,Hanson Elementary,92065-3106,ELEM,N,33.018565,-116.89073,2020-08-13,"2520 Boundary Avenue,Ramona,CA,92065",92065
337,37683046039036,Ramona Elementary,92065-2346,ELEM,N,33.04261,-116.86452,2020-08-13,"415 Eighth Street,Ramona,CA,92065",92065
338,37683046105555,James Dukes Elementary,92065-4649,ELEM,N,33.007843,-116.79124,2020-08-13,"24908 Abalar Way,Ramona,CA,92065",92065
339,37683046105563,Olive Peirce Middle,92065-3306,ELEMHIGH,N,33.025724,-116.87161,2020-08-13,"1521 Hanson Lane,Ramona,CA,92065",92065
340,37683046107999,Mt. Woodson Elementary,92065-6907,ELEM,N,33.031043,-116.95661,2020-08-13,"17427 Archie Moore Road,Ramona,CA,92065",92065
341,37683046110720,Barnett Elementary,92065-4120,ELEM,N,33.01808,-116.8121,2020-08-13,"23925 Couna Way,Ramona,CA,92065",92065
342,37683126039051,R. Roger Rowe Elementary,92067-0809,ELEM,N,33.021758,-117.20694,2020-08-13,"5927 La Granada,Rancho Santa Fe,CA,92067",92067
343,37683126070908,R. Roger Rowe Middle,92067-0809,INTMIDJR,N,33.021758,-117.20694,2020-08-13,"5927 La Granada,Rancho Santa Fe,CA,92067",92067
344,37683380101204,High Tech Middle,92106-6049,INTMIDJR,N,32.73524,-117.21805,2020-08-17,"2359 Truxtun Road,San Diego,CA,92106",92106
345,37683380101345,KIPP Adelante Preparatory Academy,92114-2203,INTMIDJR,N,32.709238,-117.0851,2020-06-23,"426 Euclid Avenue,San Diego,CA,92114",92114
346,37683380106732,High Tech High International,92106-6029,HS,N,32.732613,-117.21739,2020-08-13,"2855 Farragut Road,San Diego,CA,92106",92106
347,37683380106799,Learning Choice Academy,92131-1082,ELEMHIGH,C,32.91181,-117.1113,2020-08-13,"9950 Scripps Lake Drive Suite #105,San Diego,CA,92131",92131
348,37683380107029,San Diego International Studies,92101-4722,HS,C,32.719461,-117.15366,2020-08-13,"1405 Park Boulevard,San Diego,CA,92101",92101
349,37683380107052,San Diego Business/Leadership,92101-4722,HS,C,32.719461,-117.15366,2020-08-13,"1405 Park Boulevard,San Diego,CA,92101",92101
350,37683380107078,Kearny Digital Media & Design,92111-5731,HS,C,32.798708,-117.16044,2020-08-13,"1954 Komet Way,San Diego,CA,92111",92111
351,37683380107086,Kearny School of Biomedical Science and Technology,92111-5731,HS,C,32.798708,-117.16044,2020-08-13,"1954 Komet Way,San Diego,CA,92111",92111
352,37683380107094,Kearny College Connections,92111-5731,HS,C,32.798708,-117.16044,2020-08-13,"1954 Komet Way,San Diego,CA,92111",92111
353,37683380107102,Kearny Eng Innov & Design,92111-5731,HS,C,32.798708,-117.16044,2020-08-13,"1954 Komet Way,San Diego,CA,92111",92111
354,37683380107177,Crawford High,92115-6023,HS,C,32.752163,-117.07694,2020-08-13,"4191 Colts Way,San Diego,CA,92115",92115
355,37683380107219,San Diego Science and Technology,92101-4722,HS,C,32.719461,-117.15366,2020-08-13,"1405 Park Boulevard,San Diego,CA,92101",92101
356,37683380107482,San Diego Metro Career and Tech,92111-4902,HS,C,32.803695,-117.16498,2020-08-13,"7250 Mesa College Drive, Room L-502,San Diego,CA,92111",92111
357,37683380107573,High Tech Middle Media Arts,92106-6125,INTMIDJR,N,32.734604,-117.21975,2020-08-13,"2230 Truxtun Road, 2nd Floor,San Diego,CA,92106",92106
358,37683380108266,Golden Hill K-8,92102-2409,ELEM,N,32.71876,-117.12318,2020-07-02,"1240 33rd Street,San Diego,CA,92102",92102
359,37683380108274,Porter Elementary,92113-5006,ELEM,N,32.69871,-117.09106,2020-08-13,"4800 T Street,San Diego,CA,92113",92113
360,37683380108282,Cherokee Point Elementary,92105-2414,ELEM,N,32.747185,-117.11183,2020-07-02,"3735 38th Street,San Diego,CA,92105",92105
